year,period,periodName,latest,value,item
2024,M07,July,true,3.622,United States
2024,M06,June,NA,3.601,United States
2024,M05,May,NA,3.755,United States
2024,M04,April,NA,3.776,United States
2024,M03,March,NA,3.581,United States
2024,M02,February,NA,3.359,United States
2024,M01,January,NA,3.221,United States
2023,M12,December,NA,3.289,United States
2023,M11,November,NA,3.500,United States
2023,M10,October,NA,3.782,United States
2023,M09,September,NA,3.988,United States
2023,M08,August,NA,3.955,United States
2023,M07,July,NA,3.732,United States
2023,M06,June,NA,3.712,United States
2023,M05,May,NA,3.685,United States
2023,M04,April,NA,3.735,United States
2023,M03,March,NA,3.551,United States
2023,M02,February,NA,3.514,United States
2023,M01,January,NA,3.452,United States
2022,M12,December,NA,3.356,United States
2022,M11,November,NA,3.853,United States
2022,M10,October,NA,4.016,United States
2022,M09,September,NA,3.881,United States
2022,M08,August,NA,4.101,United States
2022,M07,July,NA,4.667,United States
2022,M06,June,NA,5.058,United States
2022,M05,May,NA,4.604,United States
2022,M04,April,NA,4.271,United States
2022,M03,March,NA,4.312,United States
2022,M02,February,NA,3.592,United States
2022,M01,January,NA,3.413,United States
2021,M12,December,NA,3.408,United States
2021,M11,November,NA,3.482,United States
2021,M10,October,NA,3.385,United States
2021,M09,September,NA,3.265,United States
2021,M08,August,NA,3.255,United States
2021,M07,July,NA,3.233,United States
2021,M06,June,NA,3.154,United States
2021,M05,May,NA,2.972,United States
2021,M04,April,NA,2.839,United States
2021,M03,March,NA,2.791,United States
2021,M02,February,NA,2.496,United States
2021,M01,January,NA,2.326,United States
2020,M12,December,NA,2.168,United States
2020,M11,November,NA,2.090,United States
2020,M10,October,NA,2.159,United States
2020,M09,September,NA,2.193,United States
2020,M08,August,NA,2.177,United States
2020,M07,July,NA,2.176,United States
2020,M06,June,NA,2.076,United States
2020,M05,May,NA,1.879,United States
2020,M04,April,NA,1.876,United States
2020,M03,March,NA,2.267,United States
2020,M02,February,NA,2.465,United States
2020,M01,January,NA,2.567,United States
2019,M12,December,NA,2.587,United States
2019,M11,November,NA,2.620,United States
2019,M10,October,NA,2.673,United States
2019,M09,September,NA,2.630,United States
2019,M08,August,NA,2.655,United States
2019,M07,July,NA,2.776,United States
2019,M06,June,NA,2.752,United States
2019,M05,May,NA,2.901,United States
2019,M04,April,NA,2.835,United States
2019,M03,March,NA,2.564,United States
2019,M02,February,NA,2.353,United States
2019,M01,January,NA,2.289,United States
2018,M12,December,NA,2.414,United States
2018,M11,November,NA,2.671,United States
2018,M10,October,NA,2.887,United States
2018,M09,September,NA,2.873,United States
2018,M08,August,NA,2.862,United States
2018,M07,July,NA,2.873,United States
2018,M06,June,NA,2.914,United States
2018,M05,May,NA,2.907,United States
2018,M04,April,NA,2.737,United States
2018,M03,March,NA,2.572,United States
2018,M02,February,NA,2.575,United States
2018,M01,January,NA,2.539,United States
2024,M07,July,true,3.621,North Carolina (Middle Atlantic)
2024,M06,June,NA,3.619,North Carolina (Middle Atlantic)
2024,M05,May,NA,3.709,North Carolina (Middle Atlantic)
2024,M04,April,NA,3.616,North Carolina (Middle Atlantic)
2024,M03,March,NA,3.437,North Carolina (Middle Atlantic)
2024,M02,February,NA,3.358,North Carolina (Middle Atlantic)
2024,M01,January,NA,3.317,North Carolina (Middle Atlantic)
2023,M12,December,NA,3.429,North Carolina (Middle Atlantic)
2023,M11,November,NA,3.592,North Carolina (Middle Atlantic)
2023,M10,October,NA,3.748,North Carolina (Middle Atlantic)
2023,M09,September,NA,3.847,North Carolina (Middle Atlantic)
2023,M08,August,NA,3.842,North Carolina (Middle Atlantic)
2023,M07,July,NA,3.663,North Carolina (Middle Atlantic)
2023,M06,June,NA,3.634,North Carolina (Middle Atlantic)
2023,M05,May,NA,3.645,North Carolina (Middle Atlantic)
2023,M04,April,NA,3.611,North Carolina (Middle Atlantic)
2023,M03,March,NA,3.456,North Carolina (Middle Atlantic)
2023,M02,February,NA,3.527,North Carolina (Middle Atlantic)
2023,M01,January,NA,3.523,North Carolina (Middle Atlantic)
2022,M12,December,NA,3.575,North Carolina (Middle Atlantic)
2022,M11,November,NA,3.882,North Carolina (Middle Atlantic)
2022,M10,October,NA,3.739,North Carolina (Middle Atlantic)
2022,M09,September,NA,3.824,North Carolina (Middle Atlantic)
2022,M08,August,NA,4.265,North Carolina (Middle Atlantic)
2022,M07,July,NA,4.706,North Carolina (Middle Atlantic)
2022,M06,June,NA,4.983,North Carolina (Middle Atlantic)
2022,M05,May,NA,4.665,North Carolina (Middle Atlantic)
2022,M04,April,NA,4.220,North Carolina (Middle Atlantic)
2022,M03,March,NA,4.284,North Carolina (Middle Atlantic)
2022,M02,February,NA,3.640,North Carolina (Middle Atlantic)
2022,M01,January,NA,3.475,North Carolina (Middle Atlantic)
2021,M12,December,NA,3.500,North Carolina (Middle Atlantic)
2021,M11,November,NA,3.531,North Carolina (Middle Atlantic)
2021,M10,October,NA,3.408,North Carolina (Middle Atlantic)
2021,M09,September,NA,3.270,North Carolina (Middle Atlantic)
2021,M08,August,NA,3.234,North Carolina (Middle Atlantic)
2021,M07,July,NA,3.200,North Carolina (Middle Atlantic)
2021,M06,June,NA,3.130,North Carolina (Middle Atlantic)
2021,M05,May,NA,3.006,North Carolina (Middle Atlantic)
2021,M04,April,NA,2.881,North Carolina (Middle Atlantic)
2021,M03,March,NA,2.895,North Carolina (Middle Atlantic)
2021,M02,February,NA,2.680,North Carolina (Middle Atlantic)
2021,M01,January,NA,2.523,North Carolina (Middle Atlantic)
2020,M12,December,NA,2.365,North Carolina (Middle Atlantic)
2020,M11,November,NA,2.280,North Carolina (Middle Atlantic)
2020,M10,October,NA,2.320,North Carolina (Middle Atlantic)
2020,M09,September,NA,2.343,North Carolina (Middle Atlantic)
2020,M08,August,NA,2.290,North Carolina (Middle Atlantic)
2020,M07,July,NA,2.294,North Carolina (Middle Atlantic)
2020,M06,June,NA,2.220,North Carolina (Middle Atlantic)
2020,M05,May,NA,2.104,North Carolina (Middle Atlantic)
2020,M04,April,NA,2.137,North Carolina (Middle Atlantic)
2020,M03,March,NA,2.414,North Carolina (Middle Atlantic)
2020,M02,February,NA,2.553,North Carolina (Middle Atlantic)
2020,M01,January,NA,2.663,North Carolina (Middle Atlantic)
2019,M12,December,NA,2.643,North Carolina (Middle Atlantic)
2019,M11,November,NA,2.659,North Carolina (Middle Atlantic)
2019,M10,October,NA,2.658,North Carolina (Middle Atlantic)
2019,M09,September,NA,2.665,North Carolina (Middle Atlantic)
2019,M08,August,NA,2.747,North Carolina (Middle Atlantic)
2019,M07,July,NA,2.838,North Carolina (Middle Atlantic)
2019,M06,June,NA,2.810,North Carolina (Middle Atlantic)
2019,M05,May,NA,2.945,North Carolina (Middle Atlantic)
2019,M04,April,NA,2.831,North Carolina (Middle Atlantic)
2019,M03,March,NA,2.605,North Carolina (Middle Atlantic)
2019,M02,February,NA,2.449,North Carolina (Middle Atlantic)
2019,M01,January,NA,2.419,North Carolina (Middle Atlantic)
2018,M12,December,NA,2.570,North Carolina (Middle Atlantic)
2018,M11,November,NA,2.766,North Carolina (Middle Atlantic)
2018,M10,October,NA,2.944,North Carolina (Middle Atlantic)
2018,M09,September,NA,2.966,North Carolina (Middle Atlantic)
2018,M08,August,NA,2.961,North Carolina (Middle Atlantic)
2018,M07,July,NA,2.958,North Carolina (Middle Atlantic)
2018,M06,June,NA,2.996,North Carolina (Middle Atlantic)
2018,M05,May,NA,2.976,North Carolina (Middle Atlantic)
2018,M04,April,NA,2.811,North Carolina (Middle Atlantic)
2018,M03,March,NA,2.671,North Carolina (Middle Atlantic)
2018,M02,February,NA,2.739,North Carolina (Middle Atlantic)
2018,M01,January,NA,2.691,North Carolina (Middle Atlantic)
2024,M07,July,true,3.617,East North Central (Wisconsin)
2024,M06,June,NA,3.552,East North Central (Wisconsin)
2024,M05,May,NA,3.632,East North Central (Wisconsin)
2024,M04,April,NA,3.639,East North Central (Wisconsin)
2024,M03,March,NA,3.479,East North Central (Wisconsin)
2024,M02,February,NA,3.195,East North Central (Wisconsin)
2024,M01,January,NA,2.932,East North Central (Wisconsin)
2023,M12,December,NA,2.929,East North Central (Wisconsin)
2023,M11,November,NA,3.218,East North Central (Wisconsin)
2023,M10,October,NA,3.359,East North Central (Wisconsin)
2023,M09,September,NA,3.676,East North Central (Wisconsin)
2023,M08,August,NA,3.756,East North Central (Wisconsin)
2023,M07,July,NA,3.526,East North Central (Wisconsin)
2023,M06,June,NA,3.665,East North Central (Wisconsin)
2023,M05,May,NA,3.617,East North Central (Wisconsin)
2023,M04,April,NA,3.685,East North Central (Wisconsin)
2023,M03,March,NA,3.406,East North Central (Wisconsin)
2023,M02,February,NA,3.328,East North Central (Wisconsin)
2023,M01,January,NA,3.349,East North Central (Wisconsin)
2022,M12,December,NA,3.116,East North Central (Wisconsin)
2022,M11,November,NA,3.776,East North Central (Wisconsin)
2022,M10,October,NA,3.961,East North Central (Wisconsin)
2022,M09,September,NA,3.760,East North Central (Wisconsin)
2022,M08,August,NA,3.926,East North Central (Wisconsin)
2022,M07,July,NA,4.625,East North Central (Wisconsin)
2022,M06,June,NA,5.143,East North Central (Wisconsin)
2022,M05,May,NA,4.457,East North Central (Wisconsin)
2022,M04,April,NA,4.000,East North Central (Wisconsin)
2022,M03,March,NA,4.076,East North Central (Wisconsin)
2022,M02,February,NA,3.365,East North Central (Wisconsin)
2022,M01,January,NA,3.164,East North Central (Wisconsin)
2021,M12,December,NA,3.158,East North Central (Wisconsin)
2021,M11,November,NA,3.308,East North Central (Wisconsin)
2021,M10,October,NA,3.246,East North Central (Wisconsin)
2021,M09,September,NA,3.136,East North Central (Wisconsin)
2021,M08,August,NA,3.127,East North Central (Wisconsin)
2021,M07,July,NA,3.146,East North Central (Wisconsin)
2021,M06,June,NA,3.088,East North Central (Wisconsin)
2021,M05,May,NA,2.891,East North Central (Wisconsin)
2021,M04,April,NA,2.794,East North Central (Wisconsin)
2021,M03,March,NA,2.685,East North Central (Wisconsin)
2021,M02,February,NA,2.456,East North Central (Wisconsin)
2021,M01,January,NA,2.251,East North Central (Wisconsin)
2020,M12,December,NA,2.058,East North Central (Wisconsin)
2020,M11,November,NA,1.953,East North Central (Wisconsin)
2020,M10,October,NA,2.063,East North Central (Wisconsin)
2020,M09,September,NA,2.077,East North Central (Wisconsin)
2020,M08,August,NA,2.121,East North Central (Wisconsin)
2020,M07,July,NA,2.150,East North Central (Wisconsin)
2020,M06,June,NA,2.078,East North Central (Wisconsin)
2020,M05,May,NA,1.831,East North Central (Wisconsin)
2020,M04,April,NA,1.520,East North Central (Wisconsin)
