City,2020,2025,change5yr
"New York, NY",509081,686784,35
"Los Angeles, CA",688923,968687,41
"Chicago, IL",241757,330398,37
"Dallas, TX",264068,370036,40
"Houston, TX",228861,308090,35
"Washington, DC",444485,578989,30
"Philadelphia, PA",256482,369386,44
"Miami, FL",307191,481546,57
"Atlanta, GA",252663,378756,50
"Boston, MA",500933,705634,41
"Phoenix, AZ",310273,452011,46
"San Francisco, CA",967817,1163075,20
"Riverside, CA",391297,584556,49
"Detroit, MI",182094,254396,40
"Seattle, WA",532894,752178,41
"Minneapolis, MN",300125,375078,25
"San Diego, CA",623834,947753,52
"Tampa, FL",240570,366243,52
"Denver, CO",449734,585427,30
"Baltimore, MD",300127,391880,31
"St. Louis, MO",183705,256055,39
"Orlando, FL",262000,389201,49
"Charlotte, NC",246051,380782,55
"San Antonio, TX",217690,279953,29
"Portland, OR",427084,550178,29
"Sacramento, CA",444991,581671,31
"Pittsburgh, PA",165672,214695,30
"Cincinnati, OH",197331,289844,47
"Austin, TX",335348,444291,32
"Las Vegas, NV",299103,433664,45
"Kansas City, MO",212505,305948,44
"Columbus, OH",217181,319904,47
"Indianapolis, IN",189173,281829,49
"Cleveland, OH",158177,233512,48
"San Jose, CA",1193809,1664320,39
"Nashville, TN",301863,441708,46
"Virginia Beach, VA",250908,353642,41
"Providence, RI",319331,489445,53
"Jacksonville, FL",238845,349141,46
"Milwaukee, WI",251114,353711,41
"Oklahoma City, OK",165953,234774,41
"Raleigh, NC",297161,441322,49
"Memphis, TN",166310,236508,42
"Richmond, VA",257882,375398,46
"Louisville, KY",189998,263567,39
"New Orleans, LA",234199,237264,1
"Salt Lake City, UT",385477,555769,44
"Hartford, CT",236956,371571,57
"Buffalo, NY",173755,260966,50
"Birmingham, AL",185751,249033,34
"Rochester, NY",160940,253640,58
"Grand Rapids, MI",224362,332782,48
"Tucson, AZ",237901,345345,45
"Urban Honolulu, HI",673982,853120,27
"Tulsa, OK",161075,236845,47
"Fresno, CA",280773,401464,43
"Worcester, MA",297334,457985,54
"Omaha, NE",204142,290841,42
"Bridgeport, CT",423423,642917,52
"Greenville, SC",202183,298765,48
"Albuquerque, NM",217347,340355,57
"Bakersfield, CA",238446,358923,51
"Albany, NY",233651,331804,42
"Knoxville, TN",199942,344162,72
"Baton Rouge, LA",195020,236048,21
"McAllen, TX",121800,188298,55
"New Haven, CT",235225,376569,60
"El Paso, TX",144524,222172,54
"Allentown, PA",222151,338534,52
"Oxnard, CA",638738,881343,38
"Columbia, SC",168292,250992,49
"North Port, FL",284886,426039,50
"Charleston, SC",284483,439328,54
"Greensboro, NC",171378,253898,48
"Stockton, CA",402596,541023,34
"Cape Coral, FL",244806,366166,50
"Boise City, ID",330345,483215,46
"Colorado Springs, CO",348203,457385,31
"Little Rock, AR",167023,221297,32
"Lakeland, FL",204284,306413,50
"Akron, OH",152448,221613,45
"Des Moines, IA",211261,281330,33
"Springfield, MA",237932,350406,47
"Ogden, UT",336804,503443,49
"Madison, WI",296019,424177,43
"Winston, NC",175874,265127,51
"Deltona, FL",227985,331550,45
"Syracuse, NY",146663,234624,60
"Provo, UT",373842,535946,43
"Toledo, OH",132751,189494,43
"Wichita, KS",146671,211014,44
"Durham, NC",271766,411310,51
"Augusta, GA",161662,232921,44
"Palm Bay, FL",233634,345890,48
"Jackson, MS",146877,196406,34
"Harrisburg, PA",199420,287837,44
"Spokane, WA",286523,409072,43
"Scranton, PA",143611,217369,51
"Chattanooga, TN",202395,307727,52
"Modesto, CA",340071,469886,38
"Lancaster, PA",242174,359678,49
"Portland, ME",326266,516855,58
"Youngstown, OH",104149,160467,54
"Lansing, MI",164360,230917,40
"Fayetteville, AR",213531,349649,64
"Fayetteville, NC",152831,243999,60
"Lexington, KY",202506,305257,51
"Pensacola, FL",203601,298998,47
"Santa Rosa, CA",672451,802543,19
"Reno, NV",394024,552593,40
"Huntsville, AL",207370,303404,46
"Port St. Lucie, FL",248049,389450,57
"Lafayette, LA",182427,189053,4
"Myrtle Beach, SC",217501,329362,51
"Springfield, MO",167488,257773,54
"Visalia, CA",242193,353534,46
"Killeen, TX",172113,248786,45
"Asheville, NC",284383,429801,51
"York, PA",195321,288406,48
"Vallejo, CA",466589,588141,26
"Santa Maria, CA",625548,973875,56
"Salinas, CA",599298,836154,40
"Salem, OR",325755,442837,36
"Mobile, AL",135272,188142,39
"Reading, PA",190839,292453,53
"Corpus Christi, TX",182609,216519,19
"Brownsville, TX",127844,198399,55
"Manchester, NH",308941,495803,60
"Fort Wayne, IN",158493,244356,54
"Gulfport, MS",154064,210502,37
"Salisbury, MD",286576,417724,46
"Flint, MI",124359,179086,44
"Peoria, IL",111279,154116,38
"Canton, OH",140775,204496,45
"Savannah, GA",212889,343007,61
"Anchorage, AK",328033,390452,19
"Beaumont, TX",155495,166865,7
"Shreveport, LA",157519,169927,8
"Trenton, NJ",277778,429682,55
"Montgomery, AL",146911,196305,34
"Davenport, IA",144625,177261,23
"Tallahassee, FL",202543,277740,37
"Eugene, OR",326606,449657,38
"Naples, FL",362094,582097,61
"Ann Arbor, MI",308847,397527,29
"Ocala, FL",174212,274504,58
"Hickory, NC",160601,252543,57
"Huntington, WV",113903,152833,34
"Fort Collins, CO",424758,556133,31
"Rockford, IL",123297,197530,60
"Lincoln, NE",208663,290468,39
"Gainesville, FL",208978,301550,44
"Boulder, CO",572913,739094,29
"Green Bay, WI",205350,320943,56
"Columbus, GA",129828,188803,45
"South Bend, IN",145568,219358,51
"Spartanburg, SC",175006,267857,53
"Greeley, CO",387714,501539,29
"Lubbock, TX",155015,200788,30
"Clarksville, TN",180063,275613,53
"Roanoke, VA",187302,281262,50
"Evansville, IN",145564,211003,45
"Kingsport, TN",149327,231141,55
"Kennewick, WA",314081,428357,36
"Utica, NY",135376,205197,52
"Hagerstown, MD",209096,311019,49
"Duluth, MN",169798,240716,42
"Olympia, WA",361909,521077,44
"Longview, TX",163737,214830,31
"Wilmington, NC",275320,433326,57
"San Luis Obispo, CA",642976,902212,40
"Crestview, FL",298589,424675,42
"Merced, CA",294324,414949,41
"Waco, TX",171297,252452,47
"Cedar Rapids, IA",165063,219583,33
"Atlantic City, NJ",213225,364939,71
"Bremerton, WA",419613,565412,35
"Sioux Falls, SD",230770,330862,43
"Santa Cruz, CA",853038,1143029,34
"Erie, PA",132372,199590,51
"Norwich, CT",243550,390064,60
"Amarillo, TX",148150,205968,39
"Laredo, TX",172344,208611,21
"Tuscaloosa, AL",166809,215854,29
"College Station, TX",228982,300511,31
"Kalamazoo, MI",188082,260193,38
"Lynchburg, VA",183730,272530,48
"Charleston, WV",99595,142208,43
"Yakima, WA",249983,340819,36
"Fargo, ND",251317,308252,23
"Binghamton, NY",118481,176946,49
"Fort Smith, AR",133665,188183,41
"Appleton, WI",211908,324144,53
"Topeka, KS",134757,206111,53
"Macon, GA",124577,184752,48
"Tyler, TX",182546,268101,47
"Barnstable Town, MA",447068,736410,65
"Daphne, AL",261957,382577,46
"Bellingham, WA",429527,609098,42
"Burlington, VT",327678,463652,41
