"DATE","FLOUR","RICE","SPAGHETTI AND MACARONI","WHITE BREAD","WHEAT BREAD","COOKIES","GROUND BEEF","ROUND ROAST","BEEF FOR STEW","STEAK","BACON","BONELESS HAM","DOZEN EGGS","MILK (HALF GALLON)","PROCESSED AMERICAN CHEESE","CHEDDAR CHEESE","ICE CREAM (HALF GALLON)","BANANAS","ORANGES","GRAPEFRUIT","LEMONS","STRAWBERRIES (PINT)","POTATOES","LETTUCE","TOMATOES","FROZEN ORANGE JUICE","CANNED CORN","DRIED BEANS","SUGAR","COFFEE","MALT BEVERAGES","TABLE WINE","ELECTRICITY (KW HOUR)","UTILITY GAS","PORK CHOPS","CHICKEN BREAST","YOGURT (8 OUNCES)","SOFT DRINKS (2 LITER)","SOFT DRINKS (12 PACK)","BUTTER"
2022-01-01,0.424,0.832,1.116,1.555,2.119,4.223,4.554,6.158,6.806,7.378,7.222,4.998,1.929,3.787,3.948,5.315,4.993,0.63,1.427,NA,2.078,3.106,0.792,NA,1.892,2.621,NA,1.509,0.706,5.135,1.58,13.397,0.147,1.409,4.019,3.726,1.281,1.762,0.449,3.672
2022-02-01,0.428,0.83,1.148,1.578,2.029,4.15,4.63,6.318,6.977,7.489,7.097,5.119,2.005,3.875,3.98,5.447,5.048,0.628,1.445,NA,NA,3.045,0.802,NA,1.826,2.754,NA,1.546,0.718,5.247,1.618,13.488,0.148,1.413,4.031,3.815,1.303,1.801,0.456,3.774
2022-03-01,0.448,0.871,1.182,1.607,2.121,4.147,4.757,6.295,7.16,7.324,7.203,5.151,2.046,3.917,3.983,5.486,5.059,0.642,1.48,NA,2.095,2.711,0.825,NA,1.827,2.696,NA,1.625,0.739,5.41,1.626,13.498,0.15,1.411,4.126,3.87,1.35,1.82,0.478,4.076
2022-04-01,0.455,0.9,1.217,1.612,2.145,4.174,4.916,6.249,7.13,7.266,7.422,4.985,2.52,4.012,4.152,5.656,5.129,0.637,1.505,NA,2.225,2.777,0.849,NA,1.794,2.77,NA,1.628,0.74,5.529,1.619,13.589,0.151,1.445,4.178,4.096,1.35,1.82,0.477,4.15
2022-05-01,0.456,0.909,1.291,1.606,2.22,4.505,4.794,6.305,7.023,7.438,7.364,5.172,2.863,4.204,4.34,5.645,5.352,0.642,1.546,NA,2.261,2.438,0.875,NA,1.819,2.856,NA,1.64,0.745,5.835,1.63,13.308,0.154,1.565,4.13,4.31,1.4,1.902,0.473,4.285
2022-06-01,0.498,0.924,1.316,1.691,2.23,4.567,4.889,6.27,6.9,7.318,7.403,5.381,2.707,4.153,4.509,5.777,5.536,0.64,1.6,NA,2.192,2.317,0.891,NA,1.842,2.887,NA,1.639,0.765,5.793,1.66,13.2,0.16,1.699,4.068,4.568,1.366,1.949,0.489,4.386
2022-07-01,0.533,0.929,1.349,1.715,2.316,4.654,4.893,6.121,7.015,7.131,7.415,5.285,2.936,4.156,4.54,5.855,5.621,0.64,NA,NA,2.138,2.208,0.945,NA,1.842,2.889,NA,1.673,0.791,6.112,1.669,13.337,0.164,1.629,4.174,4.608,1.44,1.964,0.506,4.552
2022-08-01,0.549,0.925,1.368,1.756,2.298,4.676,4.937,6.162,7.08,7.201,7.372,5.346,3.116,4.194,4.601,5.995,5.638,0.643,1.703,NA,2.032,2.558,0.994,NA,1.89,2.751,NA,1.677,0.821,6.235,1.681,13.422,0.167,1.694,4.248,4.706,1.407,2.028,0.531,4.699
2022-09-01,0.556,0.939,1.357,1.749,2.362,4.796,4.862,6.249,6.982,7.184,7.383,5.504,2.902,4.181,4.679,6.084,5.701,0.643,1.73,NA,2.086,2.782,1.019,NA,1.901,2.777,NA,1.677,0.837,6.17,1.655,13.518,0.167,1.739,4.187,4.746,1.441,2.171,0.514,4.718
2022-10-01,0.534,0.963,1.349,1.814,2.386,4.869,4.836,6.084,6.857,7.173,7.608,5.65,3.419,4.184,4.578,5.96,5.745,0.634,1.73,NA,2.09,3.108,0.991,NA,1.974,2.744,NA,1.675,0.846,6.408,1.691,13.624,0.166,1.668,4.273,4.67,1.42,2.247,0.529,4.847
2022-11-01,0.524,0.963,1.428,1.847,2.419,4.942,4.853,6.049,6.58,7.159,7.243,5.521,3.589,4.218,4.84,5.933,5.724,0.631,1.641,NA,2.122,3.631,0.945,NA,2.107,2.672,NA,1.664,0.846,6.356,1.719,13.701,0.163,1.616,4.163,4.42,1.489,2.151,0.526,4.639
2022-12-01,0.522,0.971,1.434,1.873,2.419,4.974,4.8,6.217,6.873,7.061,6.956,5.368,4.25,4.211,4.663,5.995,5.561,0.628,1.485,NA,2.085,3.856,0.948,NA,2.228,2.718,NA,1.7,0.844,6.465,1.736,13.658,0.165,1.667,4.314,4.348,1.472,2.129,0.541,4.811
2023-01-01,0.54,0.97,1.475,1.888,2.451,5.058,4.791,6.222,6.773,7.272,6.808,5.484,4.823,4.204,4.724,5.946,5.809,0.639,1.514,NA,2.194,3.467,0.953,NA,2.11,2.823,NA,1.703,0.86,6.358,1.739,13.36,0.168,1.819,4.14,4.315,1.476,2.244,0.544,4.882
2023-02-01,0.55,0.959,1.486,1.896,2.5,5.177,4.778,6.237,6.785,7.218,6.595,5.668,4.211,4.163,4.628,5.85,5.722,0.641,1.549,NA,2.157,3.169,0.978,NA,1.99,2.982,NA,1.697,0.876,6.351,1.741,13.213,0.168,1.609,4.256,4.365,1.502,2.305,0.537,4.869
2023-03-01,0.546,0.982,1.465,1.936,2.533,5.234,4.813,6.221,6.762,7.179,6.613,5.679,3.446,4.098,4.773,5.922,5.92,0.632,1.509,NA,2.174,2.649,0.968,NA,1.932,2.893,NA,1.687,0.88,6.184,1.745,13.249,0.166,1.493,4.165,4.324,1.526,2.345,0.559,4.663
2023-04-01,0.542,0.98,1.461,1.989,2.553,5.193,4.79,6.164,6.939,7.345,6.549,5.564,3.27,4.042,4.759,5.94,5.95,0.635,1.53,NA,2.19,2.894,0.98,NA,1.874,3.01,NA,1.659,0.893,6.04,1.746,13.302,0.165,1.413,4.099,4.405,1.553,2.398,0.551,4.452
2023-05-01,0.544,0.997,1.458,1.951,2.502,5.153,4.96,6.393,6.756,7.511,6.339,5.813,2.666,4.042,4.765,5.841,5.807,0.628,1.512,NA,2.241,2.668,1.008,1.7,1.798,3.175,NA,1.695,0.899,6.094,1.754,13.406,0.165,1.385,4.189,4.236,1.529,2.391,0.537,4.549
2023-06-01,0.551,1.003,1.466,1.937,2.564,5.111,5.028,6.367,6.914,7.43,6.224,5.898,2.219,3.985,4.698,5.681,5.812,0.625,1.535,1.588,2.226,2.499,1.026,1.605,1.911,3.27,NA,1.707,0.918,6.091,1.738,13.345,0.17,1.371,4.241,4.193,1.516,2.334,0.55,4.452
2023-07-01,0.564,1.006,1.42,1.98,2.58,5.091,5.102,6.625,7.21,7.664,6.236,5.889,2.094,3.971,4.782,5.911,5.845,0.631,1.591,1.587,2.161,2.421,1.051,1.666,1.896,3.336,NA,1.721,0.932,6.141,1.731,13.423,0.169,1.395,4.238,4.141,1.57,2.313,0.551,4.465
2023-08-01,0.566,0.997,1.404,1.97,2.535,5.056,5.076,6.656,7.157,7.646,6.502,5.895,2.043,3.927,4.73,5.897,5.904,0.631,1.623,1.57,2.076,2.609,1.094,1.596,1.877,3.415,NA,1.702,0.95,6.091,1.734,13.629,0.17,1.402,4.359,4.179,1.576,2.305,0.573,4.411
2023-09-01,0.565,0.981,1.41,1.972,2.537,5.113,5.109,6.613,7.23,7.774,7.083,5.882,2.065,3.965,4.767,5.846,5.959,0.625,1.637,1.677,2.071,2.628,1.047,1.66,1.844,3.427,NA,1.715,0.971,6.085,1.742,13.678,0.171,1.377,4.327,4.229,1.555,2.364,0.554,4.407
2023-10-01,0.562,0.96,1.4,2.002,2.67,5.129,5.226,6.795,7.311,7.987,7.223,5.766,2.072,3.927,4.738,5.846,6.041,0.626,1.693,1.834,2.026,2.617,1.006,1.522,1.865,3.669,1.353,1.625,0.963,6.178,1.754,13.509,0.169,1.388,4.452,4.222,1.571,2.357,0.564,4.55
2023-11-01,0.541,0.992,1.369,1.976,2.624,5.044,5.353,6.846,7.16,7.862,6.899,5.528,2.138,3.997,4.748,5.65,6.014,0.627,1.664,1.832,2.061,2.965,0.983,1.675,1.942,3.638,1.243,1.574,0.958,6.169,1.745,13.327,0.168,1.442,4.343,4.06,1.634,2.126,0.551,4.52
2023-12-01,0.538,0.99,1.377,2.024,2.647,5.117,5.21,6.885,7.025,7.994,6.774,5.497,2.507,4.008,4.956,5.545,6.015,0.625,1.601,1.78,2.066,3.574,0.961,1.53,1.995,3.717,1.31,1.592,0.956,6.092,1.749,13.319,0.169,1.429,4.256,4.082,1.629,2.111,0.567,4.505
