year,period,periodName,latest,value,item
2024,M05,May,true,3.864,Milk (half gallon)
2024,M04,April,NA,3.868,Milk (half gallon)
2024,M03,March,NA,3.893,Milk (half gallon)
2024,M02,February,NA,3.940,Milk (half gallon)
2024,M01,January,NA,3.958,Milk (half gallon)
2023,M12,December,NA,4.008,Milk (half gallon)
2023,M11,November,NA,3.997,Milk (half gallon)
2023,M10,October,NA,3.927,Milk (half gallon)
2023,M09,September,NA,3.965,Milk (half gallon)
2023,M08,August,NA,3.927,Milk (half gallon)
2023,M07,July,NA,3.971,Milk (half gallon)
2023,M06,June,NA,3.985,Milk (half gallon)
2023,M05,May,NA,4.042,Milk (half gallon)
2023,M04,April,NA,4.042,Milk (half gallon)
2023,M03,March,NA,4.098,Milk (half gallon)
2023,M02,February,NA,4.163,Milk (half gallon)
2023,M01,January,NA,4.204,Milk (half gallon)
2022,M12,December,NA,4.211,Milk (half gallon)
2022,M11,November,NA,4.218,Milk (half gallon)
2022,M10,October,NA,4.184,Milk (half gallon)
2022,M09,September,NA,4.181,Milk (half gallon)
2022,M08,August,NA,4.194,Milk (half gallon)
2022,M07,July,NA,4.156,Milk (half gallon)
2022,M06,June,NA,4.153,Milk (half gallon)
2022,M05,May,NA,4.204,Milk (half gallon)
2022,M04,April,NA,4.012,Milk (half gallon)
2022,M03,March,NA,3.917,Milk (half gallon)
2022,M02,February,NA,3.875,Milk (half gallon)
2022,M01,January,NA,3.787,Milk (half gallon)
2021,M12,December,NA,3.743,Milk (half gallon)
2021,M11,November,NA,3.671,Milk (half gallon)
2021,M10,October,NA,3.663,Milk (half gallon)
2021,M09,September,NA,3.585,Milk (half gallon)
2021,M08,August,NA,3.560,Milk (half gallon)
2021,M07,July,NA,3.627,Milk (half gallon)
2021,M06,June,NA,3.557,Milk (half gallon)
2021,M05,May,NA,3.497,Milk (half gallon)
2021,M04,April,NA,3.447,Milk (half gallon)
2021,M03,March,NA,3.348,Milk (half gallon)
2021,M02,February,NA,3.368,Milk (half gallon)
2021,M01,January,NA,3.468,Milk (half gallon)
2020,M12,December,NA,3.535,Milk (half gallon)
2020,M11,November,NA,3.425,Milk (half gallon)
2020,M10,October,NA,3.380,Milk (half gallon)
2020,M09,September,NA,3.448,Milk (half gallon)
2020,M08,August,NA,3.406,Milk (half gallon)
2020,M07,July,NA,3.255,Milk (half gallon)
2020,M06,June,NA,3.198,Milk (half gallon)
2020,M05,May,NA,3.210,Milk (half gallon)
