SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025,swing
0,New York,NY,2793,2433,2959,3199,3293,3424,FALSE
1,Los Angeles,CA,2410,2337,2614,2757,2769,2865,FALSE
2,Houston,TX,1326,1320,1469,1530,1564,1595,FALSE
3,Chicago,IL,1699,1606,1783,1915,2004,2108,FALSE
4,San Antonio,TX,1171,1201,1364,1418,1412,1405,FALSE
5,Philadelphia,PA,1399,1413,1545,1604,1655,1721,TRUE
6,Phoenix,AZ,1177,1269,1572,1605,1601,1619,TRUE
7,Las Vegas,NV,1269,1362,1677,1665,1696,1736,TRUE
8,San Diego,CA,2192,2247,2639,2862,2929,3015,FALSE
9,Dallas,TX,1332,1344,1565,1651,1649,1654,FALSE
10,Austin,TX,1411,1388,1691,1751,1688,1644,FALSE
11,San Jose,CA,2779,2596,2792,2942,2982,3095,FALSE
12,Jacksonville,FL,1166,1232,1491,1568,1568,1606,FALSE
13,Charlotte,NC,1313,1354,1588,1706,1720,1746,TRUE
14,Indianapolis,IN,945,1023,1136,1246,1303,1375,FALSE
15,Fort Worth,TX,1271,1338,1516,1605,1623,1652,FALSE
16,Orlando,FL,1391,1406,1745,1879,1887,1907,FALSE
17,San Francisco,CA,3401,2807,3121,3223,3165,3324,FALSE
18,Tucson,AZ,1037,1123,1341,1410,1466,1497,TRUE
19,Columbus,OH,1015,1057,1177,1250,1313,1382,FALSE
20,Miami,FL,1933,1949,2612,2897,2933,3019,FALSE
21,Louisville,KY,987,1032,1130,1229,1306,1363,FALSE
22,El Paso,TX,1039,1113,1260,1388,1444,1494,FALSE
23,Denver,CO,1603,1561,1792,1858,1901,1879,FALSE
24,Seattle,WA,1965,1737,2038,2095,2139,2208,FALSE
25,Portland,OR,1477,1467,1610,1692,1675,1737,FALSE
26,Nashville,TN,1450,1447,1718,1812,1797,1826,FALSE
27,Washington,DC,2198,2067,2259,2339,2397,2500,NA
28,Sacramento,CA,1591,1691,1896,1961,2010,2084,FALSE
29,Boston,MA,2874,2633,2993,3251,3464,3608,FALSE
30,Detroit,MI,887,974,1112,1197,1238,1295,TRUE
31,Pittsburgh,PA,1223,1238,1345,1417,1478,1535,TRUE
32,Albuquerque,NM,1040,1117,1312,1441,1496,1543,FALSE
33,Memphis,TN,882,978,1115,1174,1217,1246,FALSE
34,Fresno,CA,1324,1440,1696,1782,1876,1949,FALSE
35,Baltimore,MD,1292,1318,1480,1548,1588,1673,FALSE
36,Omaha,NE,981,1017,1112,1210,1268,1331,FALSE
37,Atlanta,GA,1510,1556,1813,1880,1862,1881,TRUE
38,Milwaukee,WI,1022,1056,1141,1231,1292,1360,TRUE
39,Oklahoma City,OK,940,985,1110,1178,1225,1266,FALSE
40,Raleigh,NC,1273,1295,1523,1613,1632,1650,TRUE
41,Mesa,AZ,1171,1283,1577,1586,1602,1608,TRUE
42,Colorado Springs,CO,1347,1429,1627,1699,1734,1754,FALSE
43,Buffalo,NY,933,995,1107,1209,1260,1319,FALSE
44,Kansas City,MO,998,1049,1164,1256,1334,1393,FALSE
45,Rochester,NY,1018,1092,1175,1283,1363,1445,FALSE
46,Cincinnati,OH,1034,1091,1191,1308,1401,1467,FALSE
47,Long Beach,CA,1828,1869,2050,2190,2241,2286,FALSE
48,Virginia Beach,VA,1363,1456,1668,1782,1850,1938,FALSE
49,Bakersfield,CA,1304,1447,1708,1794,1891,1947,FALSE
50,Tampa,FL,1414,1490,1917,2017,2062,2135,FALSE
51,Oakland,CA,2532,2363,2493,2503,2456,2487,FALSE
52,Tulsa,OK,919,989,1136,1189,1261,1303,FALSE
53,Minneapolis,MN,1476,1438,1506,1533,1565,1611,FALSE
54,Aurora,CO,1460,1497,1711,1784,1866,1819,FALSE
55,Spring,TX,1354,1390,1570,1638,1671,1704,FALSE
56,Honolulu,HI,1991,1987,2118,2291,2346,2449,FALSE
57,Knoxville,TN,1108,1194,1433,1626,1735,1790,FALSE
58,Arlington,TX,1298,1374,1594,1672,1698,1729,FALSE
59,Baton Rouge,LA,1075,1107,1229,1250,1295,1329,FALSE
60,New Orleans,LA,1314,1351,1492,1560,1605,1656,FALSE
61,Wichita,KS,799,835,914,986,1040,1085,FALSE
62,Cleveland,OH,869,913,1003,1091,1164,1282,FALSE
63,Riverside,CA,1645,1798,2105,2213,2241,2356,FALSE
64,Anaheim,CA,2054,2123,2424,2554,2689,2758,FALSE
65,Vancouver,WA,1369,1465,1668,1777,1757,1812,FALSE
67,Stockton,CA,1526,1672,1923,1956,2036,2147,FALSE
68,Marietta,GA,1327,1451,1738,1782,1779,1827,TRUE
69,Columbia,SC,1030,1089,1241,1335,1435,1519,FALSE
