SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025
0,Los Angeles County,CA,2331,2305,2569,2729,2774,2878
1,Cook County,IL,1628,1563,1727,1859,1953,2060
2,Harris County,TX,1334,1342,1492,1558,1594,1630
3,Maricopa County,AZ,1302,1415,1743,1764,1772,1788
4,San Diego County,CA,2157,2231,2616,2836,2917,3010
5,Orange County,CA,2316,2360,2830,2945,3062,3151
6,Kings County,NY,2601,2367,2750,3018,3122,3210
7,Miami-Dade County,FL,1851,1885,2472,2778,2809,2882
8,Dallas County,TX,1336,1357,1582,1670,1679,1692
9,Riverside County,CA,1760,1948,2286,2411,2472,2584
10,Queens County,NY,2292,2210,2386,2596,2712,2822
11,King County,WA,1933,1792,2075,2152,2206,2291
12,Clark County,NV,1291,1386,1702,1689,1720,1761
13,San Bernardino County,CA,1719,1898,2222,2345,2401,2500
14,Tarrant County,TX,1304,1369,1572,1662,1679,1702
15,Bexar County,TX,1172,1203,1367,1422,1415,1406
16,Santa Clara County,CA,2930,2690,2920,3082,3113,3239
17,Broward County,FL,1665,1741,2198,2396,2459,2502
18,Wayne County,MI,961,1043,1189,1255,1303,1373
19,Alameda County,CA,2561,2456,2610,2664,2661,2720
20,New York County,NY,3327,2768,3553,3798,3872,4051
21,Middlesex County,MA,2310,2154,2470,2658,2794,2869
22,Philadelphia County,PA,1399,1413,1545,1604,1655,1721
23,Sacramento County,CA,1643,1760,1990,2044,2095,2170
24,Suffolk County,NY,8304,8853,9629,10262,10807,11401
25,Palm Beach County,FL,1674,1805,2384,2512,2580,2647
26,Bronx County,NY,1977,1980,2082,2243,2407,2559
27,Hillsborough County,FL,1419,1511,1907,2021,2067,2124
28,Orange County,FL,1446,1461,1795,1940,1949,1981
29,Nassau County,NY,2622,2716,2935,3082,3306,3443
30,Franklin County,OH,1048,1094,1213,1291,1358,1428
31,Oakland County,MI,1283,1358,1493,1550,1601,1673
32,Hennepin County,MN,1480,1460,1545,1594,1627,1677
33,Travis County,TX,1427,1406,1712,1774,1717,1679
34,Cuyahoga County,OH,955,1017,1111,1197,1271,1372
35,Allegheny County,PA,1158,1181,1283,1352,1418,1471
36,Salt Lake County,UT,1246,1293,1537,1625,1634,1649
