SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025,change1yr,change5yr,swing
1,"New York, NY",NY,2633,2441,2931,3126,3254,3394,4,29,FALSE
2,"Los Angeles, CA",CA,2314,2345,2699,2802,2867,2974,4,29,FALSE
3,"Chicago, IL",IL,1676,1661,1836,1961,2065,2186,6,30,FALSE
4,"Dallas, TX",TX,1388,1456,1700,1762,1758,1785,2,29,FALSE
5,"Houston, TX",TX,1371,1399,1567,1625,1654,1693,2,23,FALSE
6,"Washington, DC",VA,1951,1910,2130,2226,2327,2429,4,25,FALSE
7,"Philadelphia, PA",PA,1501,1550,1724,1793,1861,1926,3,28,TRUE
8,"Miami, FL",FL,1775,1931,2508,2642,2703,2749,2,55,FALSE
9,"Atlanta, GA",GA,1398,1540,1791,1867,1870,1919,3,37,TRUE
10,"Boston, MA",MA,2527,2420,2696,2923,3072,3175,3,26,FALSE
11,"Phoenix, AZ",AZ,1349,1517,1822,1835,1843,1853,1,37,TRUE
12,"San Francisco, CA",CA,2842,2648,2905,2959,2981,3107,4,9,FALSE
13,"Riverside, CA",CA,1755,2008,2346,2416,2479,2568,4,46,FALSE
14,"Detroit, MI",MI,1081,1183,1314,1366,1427,1497,5,38,TRUE
15,"Seattle, WA",WA,1847,1806,2076,2133,2201,2271,3,23,FALSE
16,"Minneapolis, MN",MN,1438,1452,1546,1592,1636,1693,3,18,FALSE
17,"San Diego, CA",CA,2180,2311,2746,2928,2993,3070,3,41,FALSE
18,"Tampa, FL",FL,1409,1554,1945,2041,2073,2158,4,53,FALSE
19,"Denver, CO",CO,1605,1644,1874,1945,1990,1972,-1,23,FALSE
20,"Baltimore, MD",MD,1454,1527,1697,1757,1803,1879,4,29,FALSE
21,"St. Louis, MO",MO,1043,1100,1219,1294,1365,1428,5,37,FALSE
22,"Orlando, FL",FL,1478,1551,1907,2005,2016,2045,1,38,FALSE
23,"Charlotte, NC",NC,1324,1411,1636,1737,1758,1802,3,36,TRUE
24,"San Antonio, TX",TX,1218,1266,1445,1479,1468,1465,-0,20,FALSE
25,"Portland, OR",OR,1483,1541,1720,1800,1808,1852,2,25,FALSE
26,"Sacramento, CA",CA,1790,1954,2182,2221,2292,2350,3,31,FALSE
27,"Pittsburgh, PA",PA,1165,1201,1299,1363,1416,1482,5,27,TRUE
28,"Cincinnati, OH",OH,1144,1207,1346,1446,1523,1586,4,39,FALSE
29,"Austin, TX",TX,1457,1509,1806,1829,1761,1721,-2,18,FALSE
30,"Las Vegas, NV",NV,1312,1446,1746,1731,1763,1801,2,37,TRUE
31,"Kansas City, MO",MO,1112,1178,1296,1387,1459,1536,5,38,FALSE
32,"Columbus, OH",OH,1150,1214,1336,1421,1484,1562,5,36,FALSE
34,"Indianapolis, IN",IN,1137,1218,1376,1463,1529,1610,5,42,FALSE
35,"Cleveland, OH",OH,1040,1110,1227,1296,1380,1462,6,41,FALSE
36,"San Jose, CA",CA,3032,2802,3112,3215,3287,3413,4,13,FALSE
37,"Nashville, TN",TN,1448,1499,1772,1834,1840,1868,2,29,FALSE
38,"Virginia Beach, VA",VA,1251,1370,1552,1645,1720,1798,5,44,FALSE
39,"Providence, RI",RI,1464,1607,1799,1939,2085,2196,5,50,FALSE
40,"Jacksonville, FL",FL,1269,1384,1650,1706,1721,1742,1,37,FALSE
41,"Milwaukee, WI",WI,1125,1168,1259,1343,1407,1478,5,31,TRUE
42,"Oklahoma City, OK",OK,1047,1115,1247,1296,1334,1391,4,33,FALSE
43,"Raleigh, NC",NC,1337,1410,1655,1734,1740,1761,1,32,TRUE
44,"Memphis, TN",TN,1060,1178,1328,1388,1422,1469,3,39,FALSE
45,"Richmond, VA",VA,1220,1307,1482,1560,1629,1708,5,40,FALSE
46,"Louisville, KY",KY,1039,1084,1207,1286,1373,1414,3,36,FALSE
47,"New Orleans, LA",LA,1287,1337,1525,1553,1597,1654,4,29,FALSE
48,"Salt Lake City, UT",UT,1302,1409,1654,1695,1718,1747,2,34,FALSE
49,"Hartford, CT",CT,1327,1414,1582,1707,1818,1928,6,45,FALSE
50,"Buffalo, NY",NY,1003,1067,1179,1257,1331,1383,4,38,FALSE
51,"Birmingham, AL",AL,1078,1127,1256,1323,1375,1436,4,33,FALSE
52,"Rochester, NY",NY,1105,1195,1331,1401,1489,1565,5,42,FALSE
53,"Grand Rapids, MI",MI,1216,1300,1458,1541,1631,1699,4,40,TRUE
54,"Tucson, AZ",AZ,1120,1252,1464,1519,1562,1585,1,42,TRUE
55,"Urban Honolulu, HI",HI,2241,2340,2556,2639,2725,2843,4,27,FALSE
56,"Tulsa, OK",OK,999,1091,1250,1284,1352,1415,5,42,FALSE
57,"Fresno, CA",CA,1359,1553,1761,1848,1930,2004,4,47,FALSE
58,"Worcester, MA",MA,1461,1551,1755,1904,2030,2174,7,49,FALSE
59,"Omaha, NE",NE,1029,1071,1178,1277,1329,1396,5,36,FALSE
60,"Bridgeport, CT",CT,2032,2181,2424,2559,2696,2854,6,40,FALSE
61,"Greenville, SC",SC,1158,1224,1383,1471,1515,1599,6,38,FALSE
62,"Albuquerque, NM",NM,1098,1216,1412,1513,1578,1633,3,49,FALSE
63,"Bakersfield, CA",CA,1231,1363,1624,1708,1786,1849,4,50,FALSE
64,"Albany, NY",NY,1228,1296,1416,1481,1567,1648,5,34,FALSE
