SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025
1,77494,TX,1535,1593,1812,1898,1892,1938
3,77449,TX,1416,1497,1691,1780,1838,1880
4,11368,NY,NA,NA,NA,NA,NA,2334
5,77084,TX,1354,1404,1628,1680,1727,1755
6,79936,TX,NA,NA,1186,1349,1403,1455
7,11385,NY,2375,2161,2448,2698,2803,2910
8,78660,TX,1426,1466,1770,1832,1803,1758
9,11208,NY,NA,NA,NA,2373,2633,2819
10,90011,CA,NA,NA,NA,NA,2835,3004
11,77433,TX,1514,1607,1835,1907,1888,1965
12,60629,IL,NA,NA,930,1022,1097,1252
13,90650,CA,2085,2225,2479,2594,2748,2809
15,37013,TN,1299,1366,1572,1698,1695,1700
16,11236,NY,NA,NA,NA,2084,2490,2709
17,10467,NY,1553,1646,1631,1827,2144,2303
18,11373,NY,NA,NA,1896,2172,2243,2266
19,11226,NY,2333,2160,2420,2632,2723,2742
20,11207,NY,2367,2094,2402,2730,2815,2905
21,30044,GA,1428,1562,1855,1947,1995,1996
22,90044,CA,NA,1817,1948,2227,2337,2568
23,92336,CA,NA,NA,2836,3137,3176,3319
24,94565,CA,1992,2075,2267,2354,2436,2486
25,77573,TX,1448,1463,1638,1702,1778,1854
26,92335,CA,NA,NA,NA,2315,2490,2641
27,90201,CA,NA,NA,NA,NA,NA,2207
28,90250,CA,1650,1694,1805,1932,1991,2046
29,10025,NY,3101,2634,3265,3501,3505,3772
30,75052,TX,1374,1435,1691,1778,1745,1775
31,90805,CA,1623,1718,1775,1944,2114,2144
32,11214,NY,NA,1955,2044,2162,2363,2477
33,60618,IL,1497,1488,1594,1712,1811,1923
34,93307,CA,NA,NA,NA,1683,1815,1954
35,90280,CA,NA,NA,NA,NA,1774,1911
36,11234,NY,NA,NA,NA,NA,NA,2675
37,91342,CA,NA,NA,NA,2749,3380,3376
38,92683,CA,NA,NA,NA,2666,2714,2879
39,10314,NY,NA,NA,1933,2173,2244,2693
40,11220,NY,1997,2004,2108,2268,2380,2491
41,60639,IL,1148,1163,1247,1306,1445,1476
42,78245,TX,1221,1215,1408,1482,1425,1415
43,11219,NY,NA,NA,NA,NA,NA,2258
44,92503,CA,1634,1824,2170,2220,2248,2369
46,78521,TX,NA,NA,NA,NA,NA,1297
47,11206,NY,2858,2458,3025,3309,3350,3495
48,11221,NY,2527,2274,2653,2904,3041,3093
49,10456,NY,NA,NA,NA,NA,NA,2560
50,92345,CA,NA,NA,NA,2096,2103,2229
51,77479,TX,1710,1789,2084,2131,2129,2160
52,91911,CA,2037,2092,2464,2815,2828,2961
53,30043,GA,1492,1613,1953,2034,2033,2075
54,11223,NY,NA,1797,1898,2131,2368,2448
55,78542,TX,NA,NA,NA,NA,967,1046
56,78613,TX,1352,1387,1644,1700,1630,1536
57,11230,NY,2356,2180,2393,2574,2780,2782
58,60647,IL,1764,1700,1820,1993,2097,2206
60,95076,CA,NA,NA,NA,NA,3221,3343
61,92154,CA,2056,2166,2510,2776,2952,3054
62,77429,TX,1522,1556,1756,1838,1935,1979
63,10458,NY,1724,1781,1795,2004,2211,2879
64,92376,CA,NA,NA,NA,2539,2574,2773
66,11377,NY,NA,2041,2132,2327,2494,2534
67,79938,TX,1206,1321,1443,1598,1659,1702
68,92804,CA,1758,1856,2105,2291,2415,2549
69,91710,CA,NA,NA,2590,2673,2854,3007
70,93722,CA,NA,NA,1739,1888,1930,2088
71,94112,CA,2511,2559,2621,2658,2853,3022
72,99301,WA,1366,1480,1662,1780,1916,1960
73,11235,NY,1980,1878,2063,2294,2355,2502
74,60632,IL,NA,NA,NA,1160,1297,1350
75,77584,TX,1476,1470,1699,1755,1764,1831
